Street,Bus Line,Departure Time,RouteDescription,Route Duration (minutes)
Vuka Karadžića,Bus Line 21,3:57,"The bus passes through the streets: Novosadska 1, Braće Krsmanović, Milana Tepić, Futog, Braće Penić, Jevrejska, Braće Radić. On the way, you can see: Matica Srpska Gallery, Fish Market, Serbian National Theatre.",50
Kneza Višeslava,Bus Line 71,12:49,"The bus passes through the streets: Kneza Lazara, Zlatiborska, Salajka, Jevrejska, Braće Krkljuš, Bulevar Patrijarha Pavla, Braće Novaković, Nikole Tesle, Karađorđeva, Braće Stefanović. On the way, you can see: Limanski Park, Spens Sports Center.",48
Živojina Mišića,Bus Line 38,2:17,"The bus passes through the streets: Aleksandra Vulina, Braće Ribnikar, Kneza Višeslava, Nova 1, Kralja Petra I, Podbara, Trg Slobode, Miše Dimitrijevića, Omladinska. On the way, you can see: Liberty Square, Strand Beach, University of Novi Sad.",27
Klisa,Bus Line 83,0:42,"The bus passes through the streets: Partizanska, Nova 1, Narodnih Heroja, Dunavska, Lasla Gala, Klisa, Veternik. On the way, you can see: Petrovaradin Fortress, Danube River, Freedom Square.",42
Braće Novaković,Bus Line 56,9:54,"The bus passes through the streets: Novosadska 2, Lasla Gala, Vuka Karadžića, Braće Ilić, Braće Krsmanović. On the way, you can see: Novi Sad Fair, Cathedral of Saint George, Novi Sad Synagogue.",30
Braće Jerković,Bus Line 85,23:43,"The bus passes through the streets: Kneza Mihaila, Njegoševa, Braće Čolaković, Cara Lazara, Laze Kostića, Somborska Rampa, Podbara, Braće Ribnikar, Sonje Marinković. On the way, you can see: Museum of Vojvodina, Žeželj Bridge, Fish Market.",44
Narodnog Fronta,Bus Line 53,12:49,"The bus passes through the streets: Bulevar Jaše Tomića, Braće Čolaković, Majke Jugovića, Svetog Save, Vukašinovićeva, Jovana Cvijića, Slobodana Bajica, Pariske Komune, Jovana Cvijića, Miletićeva. On the way, you can see: Limanski Park, Matica Srpska Gallery, Liberty Square, Serbian National Theatre.",25
Carice Milice,Bus Line 43,20:24,"The bus passes through the streets: Jevrejska, Kneza Lazara, Ive Lole Ribara, Laze Telečkog, Njegoševa. On the way, you can see: Cathedral of Saint George, Stari Grad, Serbian National Theatre.",21
Grbavica,Bus Line 63,7:07,"The bus passes through the streets: Aleksandra Vulina, Njegoševa, Svetosavska, Kneza Miloša, Braće Čolaković. On the way, you can see: City Hall, Serbian National Theatre.",53
Stevana Mokranjca,Bus Line 86,2:17,"The bus passes through the streets: Jug Bogdana, Jovana Cvijića, Dositejeva, Limani, Njegoševa, Slobodana Bajica, Stevana Sinđelića, Adice. On the way, you can see: Novi Sad Synagogue, City Hall.",45
Stevana Sremca,Bus Line 89,20:21,"The bus passes through the streets: Narodnog Fronta, Ive Lole Ribara, Braće Penić, Cara Dušana, Majke Jugovića, Železnička. On the way, you can see: Liberty Square, Spens Sports Center, Fruška Gora National Park.",56
Miše Dimitrijevića,Bus Line 39,14:49,"The bus passes through the streets: Braće Krsmanović, Kisacka, Braće Milić, Majke Jugovića, Stepanovići, Narodnog Fronta, Nova 2, Jevrejska, Petefi Šandora, Laze Kostića. On the way, you can see: Serbian National Theatre, Novi Sad Fair, Petrovaradin Fortress.",55
Braće Ribnikar,Bus Line 45,10:59,"The bus passes through the streets: Kneza Mihaila, Futog, Stepanovići, Braće Krkljuš, Aleksandra Vulina. On the way, you can see: Svetozar Miletić Monument, Limanski Park, City Hall.",51
Sajlovo,Bus Line 29,4:25,"The bus passes through the streets: Miloša Obilića, Bulevar Mihajla Pupina, Narodnog Fronta, Braće Jovanović, Grbavica, Aleksandra Vulina, Zmaj Jovina, Stevana Mokranjca, Banatić. On the way, you can see: Fruška Gora National Park, Novi Sad Fair, Matica Srpska Gallery.",34
Miletićeva,Bus Line 29,21:43,"The bus passes through the streets: Cara Lazara, Bulevar cara Lazara, Svetosavska, Ive Lole Ribara, Braće Grulović, Nikole Tesle, Kralja Aleksandra I Karađorđevića, Feješ Klare, Petra Kočića. On the way, you can see: Matica Srpska Gallery, University of Novi Sad, City Hall.",27
Kraljice Marije,Bus Line 82,3:37,"The bus passes through the streets: Stevana Sinđelića, Vojvode Mišića, Zlatiborska, Vuka Karadžića, Maršala Tita, Kisacka, Somborska Rampa, Trg Slobode. On the way, you can see: Petrovaradin Fortress, Museum of Vojvodina, Novi Sad Fair, Cathedral of Saint George.",58
Laze Telečkog,Bus Line 11,18:54,"The bus passes through the streets: Braće Đukić, Novosadska, Jovana Cvijića, Somborska Rampa, Kneza Mihailova. On the way, you can see: Cathedral of Saint George, Fish Market, Museum of Vojvodina.",26
Bulevar kralja Aleksandra,Bus Line 55,23:43,"The bus passes through the streets: Braće Jovanović, Braće Grulović, Slobodana Bajica, Petra Kočića, Balzakova, Jevrejska. On the way, you can see: Big Shopping Mall, Fish Market, Danube Park, Stari Grad.",37
Maršala Tita,Bus Line 39,23:00,"The bus passes through the streets: Bulevar Slobodana Jovanovića, Karađorđeva, Jovana Dučića, Miše Dimitrijevića, Cara Lazara, Petefi Šandora, Živojina Mišića, Salajka. On the way, you can see: Svetozar Miletić Monument, Petrovaradin Fortress.",48
Mihajla Pupina,Bus Line 38,17:12,"The bus passes through the streets: Partizanska, Braće Vujić, Feješ Klare, Vojislava Ilića, Kralja Milana, Bulevar kralja Aleksandra, Stefana Dečanskog, Braće Ilić, Carice Milice, Limani. On the way, you can see: Big Shopping Mall, Danube River, Freedom Square.",24
